Permno is a number identifying each unique firm,,,,,,,
"ret is the return during the indicated monthi in percent units (i.e., 2.50 means 2.50%)",,,,,,,
lmktcap is the market capitalization of the firm as of the start of the month ,,,,,,,
,,,,,,,
permno,ret,month,month_txt,year_txt,Date,year,lmktcap
10104,19.760479,4,04,1986,198604,1986,275320.4
10104,-5.99999987,5,05,1986,198605,1986,329725
10104,3.72340418,6,06,1986,198606,1986,309941.5
10104,-36.4102572,7,07,1986,198607,1986,321481.9
10104,6.45161271,8,08,1986,198608,1986,204429.5
10104,-13.636364,9,09,1986,198609,1986,218493
10104,26.3157904,10,10,1986,198610,1986,188698.5
10104,19.4444448,11,11,1986,198611,1986,238356
10104,-3.48837227,12,12,1986,198612,1986,287218.5
10104,30.120483,1,01,1987,198701,1987,277199.3
10104,42.592594,2,02,1987,198702,1987,360693
10104,14.2857149,3,03,1987,198703,1987,514321.5
10104,6.81818202,4,04,1987,198704,1987,587796
10104,15.9574464,5,05,1987,198705,1987,627873
10104,-18.3486238,6,06,1987,198706,1987,784527.5
10104,2.24719103,7,07,1987,198707,1987,640577.5
10104,17.582418,8,08,1987,198708,1987,654972.5
10104,21.4953274,9,09,1987,198709,1987,777622.5
10104,-23.0769232,10,10,1987,198710,1987,944775
10104,-12.9999995,11,11,1987,198711,1987,726750
10104,33.3333343,12,12,1987,198712,1987,632272.5
10104,-3.44827585,1,01,1988,198801,1988,843030
10104,8.03571418,2,02,1988,198802,1988,813960
10104,7.43801668,3,03,1988,198803,1988,902145.8
10104,3.07692308,4,04,1988,198804,1988,969247.5
10104,0,5,05,1988,198805,1988,999070.5
10104,17.9104477,6,06,1988,198806,1988,1006943
10104,-3.79746817,7,07,1988,198807,1988,1187291
10104,-2.63157897,8,08,1988,198808,1988,1142204
10104,8.78378376,9,09,1988,198809,1988,1136011
10104,-21.7391297,10,10,1988,198810,1988,1235796
10104,9.5238097,11,11,1988,198811,1988,967144.5
10104,13.0434781,12,12,1988,198812,1988,1069690
10104,21.1538464,1,01,1989,198901,1989,1209215
10104,-4.76190485,2,02,1989,198902,1989,1465010
10104,7.22222254,3,03,1989,198903,1989,1417973
10104,20.2072546,4,04,1989,198904,1989,1520382
10104,5.17241396,5,05,1989,198905,1989,1827609
10104,-2.45901644,6,06,1989,198906,1989,1922141
10104,3.36134471,7,07,1989,198907,1989,1874875
10104,21.9512194,8,08,1989,198908,1989,1937896
10104,25.999999,9,09,1989,198909,1989,2395781
10104,-1.58730168,10,10,1989,198910,1989,3018685
